lon lat str1 dip1 rake1 str2 dip2 rake2 sc iexp name
-94.66 15.38 150 12 -78 318 78 -93 2.824 28 201709080449A  
-95.09 16.36 152 30 -101 345 60 -84 2.584 24 201709081857A  
-94.55 15.84 337 43 150 90 70 51 6.594 23 201709090308A  
-94.18 15.15 296 2 68 138 88 91 5.122 24 201709090454A  
-94.74 15.69 318 35 98 128 55 84 4.807 23 201709091150A  
-94.33 15.22 286 18 60 137 75 99 5.752 23 201709091322A  
-94.86 15.82 261 33 37 139 71 118 0.941 24 201709091530A  
-94.63 15.75 305 36 98 115 54 84 3.028 23 201709092026A  
-94.69 15.56 296 15 69 137 76 95 7.599 24 201709100307A  
-94.54 15.70 169 31 -51 305 67 -111 2.533 23 201709100839A  
-94.58 15.39 305 45 62 162 51 115 4.420 23 201709111455A  
-94.43 15.35 191 24 -19 299 82 -113 5.905 23 201709120112A  
-93.99 15.16 25 10 -13 128 88 -99 2.413 24 201709120508A  
-94.00 15.20 83 32 69 287 60 103 3.635 23 201709121528A  
-93.25 15.31 294 32 86 119 58 93 1.506 23 201709121658A  
-94.61 15.24 269 40 -125 131 58 -65 3.861 23 201709130201A  
-93.68 15.43 310 27 76 146 64 97 4.853 23 201709130509A  
-95.30 15.68 295 19 -114 139 72 -82 8.835 23 201709132130A  
-94.09 15.38 329 40 102 134 51 80 2.239 23 201709150245A  
-95.25 16.04 209 45 -69 1 49 -110 1.355 24 201709161418A  
-95.16 16.05 196 37 -99 28 54 -83 2.289 23 201709161707A  
-94.82 15.38 301 40 -120 158 57 -67 4.354 23 201709161935A  
-95.23 16.05 20 47 -111 229 47 -69 2.150 23 201709170607A  
-95.14 16.08 190 36 -103 27 55 -80 3.129 23 201709181207A  
-94.60 15.33 172 23 -66 326 69 -100 4.947 24 201709181419A  
-94.84 15.37 321 45 -106 163 47 -74 1.909 23 201709181951A  
-94.82 15.63 314 35 92 132 55 89 4.588 23 201709190703A  
-94.44 15.11 286 18 48 150 77 102 2.411 24 201709190753A  
-93.56 15.27 301 28 86 126 62 92 6.791 23 201709201039A  
-93.54 15.72 305 25 94 120 65 88 2.567 23 201709211144A  
-94.11 15.05 210 43 -6 305 86 -133 2.754 23 201709212022A  
-94.48 15.51 152 30 -62 301 64 -105 6.867 24 201709231038A  
-95.11 16.72 265 47 -65 50 49 -114 1.460 25 201709231253A  
-95.10 16.66 44 45 -128 271 56 -59 5.507 23 201709231431A  
-94.25 15.21 56 51 16 315 77 140 6.149 24 201709241006A  
-94.42 15.15 38 8 169 139 89 82 4.449 23 201709292150A  
-94.25 15.27 261 43 54 127 57 119 2.940 23 201710030530A  
-95.01 16.26 126 33 -128 350 65 -68 2.211 24 201710140020A  
-94.25 15.32 107 34 86 292 56 93 0.897 24 201710241612A  
-94.48 15.53 264 15 52 123 78 99 4.458 23 201710300513A  
-94.24 15.16 222 50 -5 315 86 -140 4.268 23 201711012329A  
-94.56 15.59 307 39 135 75 63 60 4.728 23 201711161255A  
-94.18 15.18 242 29 35 121 74 114 8.413 23 201711181707A  
-94.94 16.07 163 27 -71 322 64 -100 3.600 23 201711181917A  
-95.21 17.76 320 41 -93 144 49 -88 1.623 23 201712121534A  
-94.75 15.63 314 34 100 121 57 83 5.075 23 201712260913A  
-95.65 15.39 297 24 97 109 66 87 4.355 23 201802140835A  
-94.93 15.80 279 39 59 137 57 113 2.852 23 201802160154A  
-94.73 15.62 248 27 43 118 72 110 4.405 23 201802200628A  
-94.17 15.36 134 22 104 299 68 84 3.030 23 201802211611A  
-94.49 15.51 116 27 -131 340 70 -71 2.178 23 201802251251A  

